author,year,loc,spcd,common_name,sample_size,st_meand_bh,st_mind_bh,st_maxd_bh,lat,lon,prec,lat_lon_der,loc_desc,state
Alegria-Sugar,1984,13,117,sugar pine,18,34.5,21.8,47.8,39.1,-123.1,0,,Northern California,California
Alegria-Sugar,1984,14,117,sugar pine,12,39.3,26.5,48.4,39.4,-123.2,0,,Northern California,California
Alegria-Sugar,1984,15,117,sugar pine,12,47.9,29.9,62.3,39.2,-123.3,0,,Northern California,California
Alegria-Sugar,1984,16,117,sugar pine,11,45.6,31.1,62.5,39.2,-123.1,0,,Northern California,California
Alegria-Sugar,1984,17,117,sugar pine,7,54.4,48.4,64.4,39.6,-122.9,0,,Northern California,California
Alegria-Sugar,1984,18,117,sugar pine,1,47.3,47.3,47.3,39.3,-120.9,0,,Northern California,California
Alegria-Sugar,1984,19,117,sugar pine,6,60.1,52.3,64.5,39.6,-122.8,0,,Northern California,California
Alegria-Sugar,1984,2,117,sugar pine,13,33.8,17.3,46.7,38.9,-120.7,0.5,,Northern California,California
Alegria-Sugar,1984,20,117,sugar pine,14,43.4,32.3,56.2,39.8,-122.8,0,,Northern California,California
Alegria-Sugar,1984,3,117,sugar pine,25,22.8,10.8,38,39.2,-120.6,0,,Northern California,California
Alegria-Sugar,1984,4,117,sugar pine,12,25.1,15.1,43.1,41.8,-123.3,0,,Northern California,California
Alegria-Sugar,1984,5,117,sugar pine,8,36,29.6,44,39.8,-122.6,0,,Northern California,California
Alegria-Sugar,1984,6,117,sugar pine,4,37.2,32,46.3,39.3,-120.9,0,,Northern California,California
Alegria-Sugar,1984,7,117,sugar pine,9,48.9,36.3,59.5,38.7,-120.6,0,,Northern California,California
Alegria-Sugar,1984,8,117,sugar pine,17,40.9,19.3,56.5,39.7,-121.2,0,,Northern California,California
Alegria-Sugar,1984,9,117,sugar pine,14,31.9,17.7,44.2,39.2,-123.6,0,,Northern California,California
Anonymous,1990,ARKANSAS,131,loblolly pine,8,15.7,13.8,17.8,34.9,-92.3,2,,Arkansas,Arkansas
Anonymous,1990,LOUISIANA,131,loblolly pine,27,10.6,6,19.8,31.4,-92.4,1,,Louisiana,Louisiana
Anonymous,1990,MISSISSIPPI,131,loblolly pine,104,4.4,1,17.2,32.9,-89.6,2,,Mississippi,Mississippi
Anonymous,1990,NORTH CAROLINA,131,loblolly pine,53,10.8,4.2,22.7,35.6,-78.7,1,,North Carolina,North carolina
Archibald,1983,1,202,Douglas-fir,26,7.8,3.6,12.9,46.9,-122.4,0,,Between McKenna and Eatonville Pierce County Washington,Washington
Aspinwall2013,2013,1,131,loblolly pine,66,,,,34.8,-77.3,0,,,North carolina
Auburn_Silviculture,,1,131,,70,7.1,4.2,9.9,,,,,,
Baker_1962,1962,1,131,loblolly pine,27,5,0.5,10.1,36,-79,0.1,,Duke University School Forest,North carolina
Baker_1971,1971,1,131,loblolly pine,85,,,,33,-89,0.2,,Winston Count Mississippi,Mississippi
Baldwin,1987,1,131,loblolly pine,130,10.1,1.9,20.8,31.1,-92.8,1.5,,12 plantations in Beauregard Grant Rapides and Vernon parishes of central Louisiana,Louisiana
Baldwin_and_Saucier,,1,121,longleaf pine,113,9.4,1.3,20.6,31.4,-93.7,1,,Pine plantations in East Texas and Central Louisiana,Louisiana
Baldwin_et_al,,Louisiana,131,loblolly pine,30,8.5,4,14.1,31.5,-92.4,1,,Pine plantations in Louisiana,Louisiana
Baldwin_et_al,,Virginia/Carolina,131,loblolly pine,34,7.4,4.6,12.4,36.6,-78.5,1,,Pine plantations in Virginia and North Carolina,Virginia
Baltzer2007,2007,2,316,red maple,82,,,,46.1,-80.4,4,,,NANA
Baltzer2007,2007,2,318,sugar maple,76,,,,46.1,-80.4,4,,,NANA
Baltzer2007,2007,2,371,yellow birch,91,,,,46.1,-80.4,4,,,NANA
Baltzer2007,2007,2,375,paper birch,52,,,,46.1,-80.4,4,,,NANA
Baltzer2007,2007,2,541,white ash,84,,,,46.1,-80.4,4,,,NANA
Baltzer2007,2007,2,833,northern red oak,80,,,,46.1,-80.4,4,,,NANA
Baltzer2007,2007,2,972,American elm,119,,,,46.1,-80.4,4,,,NANA
Bickelhaupt,1979,1,318,sugar maple,10,7.4,2.3,12.2,42.8,-76,0,,S O Heiberg Memorial Forest,New york
Blackmon,1963,1,400,hickory spp.,13,4.9,1,7.8,36,-79,0.1,,Duke University School Forest,North carolina
Blackmon,1963,1,800,oak spp.,14,4.5,1,11.3,36,-79,0.1,,Duke University School Forest,North carolina
Blackmon,1963,1,802,white oak,17,5.7,1,9.8,36,-79,0.1,,Duke University School Forest,North carolina
Bluhm_et_al_2007,,2101,351,,34,11.1,6.3,14.1,,,,,,
Bluhm_et_al_2007,,2202,351,,29,6.6,3.7,9.6,,,,,,
