author,loc,spcd,treeno,branch_id,status,ht,ob_d,len,lenh,lenv,lenmeth,wdbk_gw_sub,wd_gw_sub,bk_gw_sub,wdbk_dw_sub,wd_dw_sub,bk_dw_sub,ind_sub,wdbk_mc_sub,wd_mc_sub,bk_mc_sub,fol_gw_sub,fol_dw_sub,fol_mc_sub,wdbkf_gw,wdbk_gw,wd_gw,bk_gw,fol_gw,wdbk_dw,wdbk_dw_1,wd_dw,bk_dw,fol_dw,cen
VT_COOP-IMP,1402,131,69,48,1,33.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,49,,35.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,50,1,35.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,51,1,36.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,52,,36.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,53,1,36.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,54,1,37.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,55,1,37.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,56,1,37.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,57,1,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,58,1,39,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,59,1,39,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,60,1,39.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,61,1,39.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,62,1,39.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,63,1,40.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,64,1,40.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,65,1,42,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,66,1,42,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
